,A,B,C
2018-02-03,0.07654691723277274,-0.4109589721300926,824
2018-02-04,0.810574112111839,0.9889970193062987,255
2018-02-05,0.07155540947312111,0.7722085836303672,859
2018-02-06,0.31968398560702616,0.7600996219641603,551
2018-02-07,0.5717911859584073,0.16297384511460677,159
2018-02-08,0.5016184250018506,-0.7895570231604978,417
2018-02-09,0.7401734634234113,-0.24469602804923984,889
2018-02-10,0.6046840959464367,-0.965561186749069,507
2018-02-11,0.11287398862179898,0.9742279401778133,208
2018-02-12,0.8193986642516866,0.9019262710184501,595
2018-02-13,0.7518568295584467,-0.3118158862839162,25
2018-02-14,0.08432555452864099,-0.8315003052049215,517
2018-02-15,0.6613306232955406,0.2679377283648847,473
2018-02-16,0.41560526415967125,-0.5499458714454903,626
2018-02-17,0.5922685779804656,0.4949219568660532,331
2018-02-18,0.18006681557891746,-0.7317504063957936,615
2018-02-19,0.5704092875441312,-0.2649595702624412,647
2018-02-20,0.16213047735309427,0.5780474676831373,457
2018-02-21,0.5512702805523036,-0.5415922056612472,202
2018-02-22,0.08485877428943756,0.6100360617077141,74
2018-02-23,0.7938219881352716,0.0643016668344738,88
2018-02-24,0.2332114962011963,0.6361988482827654,84
2018-02-25,0.17910542084482228,-0.21929898396964687,339
2018-02-26,0.21883347915819595,-0.29206763947949277,996
2018-02-27,0.15342596721799384,0.9872589793193978,794
2018-02-28,0.17161920599663538,-0.5486781535620031,630
2018-03-01,0.8106672383375559,0.8071370596080274,123
2018-03-02,0.6897573954097096,0.8200638193493128,195
2018-03-03,0.6723072457159793,0.9464881668510097,434
2018-03-04,0.4873053845046237,-0.326371067558771,560
2018-03-05,0.15557206388385947,-0.06500328794414623,788
2018-03-06,0.42606103492619196,0.5709278372784596,594
2018-03-07,0.13801834257652112,0.8039169668445412,177
2018-03-08,0.5036349665569908,-0.9586354407928641,313
2018-03-09,0.23141994585435255,-0.9723752481091494,994
2018-03-10,0.904465120933203,-0.6290552499543636,384
2018-03-11,0.21576171206116213,-0.8536304002343365,876
2018-03-12,0.548576918675819,0.9295188341664413,764
2018-03-13,0.37265375792747846,0.2365302027127163,43
2018-03-14,0.5717895251125688,0.8154676365895714,215
2018-03-15,0.8262866186504586,0.3569189580242855,731
2018-03-16,0.009901395421447079,0.26708473731375704,271
2018-03-17,0.146277690200165,0.19057191425762166,808
2018-03-18,0.31823219189417506,0.8741477054791096,717
2018-03-19,0.46816115312805395,0.05898196145900769,436
2018-03-20,0.6066663283124225,0.516747620216625,513
2018-03-21,0.550017820125131,0.3743600519443946,498
2018-03-22,0.5602790186789633,-0.5829775381172306,737
2018-03-23,0.7436569556645589,-0.9358015804531858,48
2018-03-24,0.8105332197216701,-0.5699217839829054,7
2018-03-25,0.7499840395919944,0.391250995471224,206
2018-03-26,0.49187711803752376,0.6564333180004649,958
2018-03-27,0.1201270062434826,0.614791313718356,701
2018-03-28,0.4387722646297195,0.5093176138866156,946
2018-03-29,0.46889357380583274,0.3775343829683895,861
2018-03-30,0.07926053134919087,-0.5048942058015797,529
2018-03-31,0.6726078349981734,0.5386382176983813,73
2018-04-01,0.8691301502040795,0.07742035257831992,748
2018-04-02,0.4687542847386731,0.35174133937690755,957
2018-04-03,0.2276108945207016,0.9790995285747628,608
2018-04-04,0.2406793603844264,0.8501288318901923,754
2018-04-05,0.6761438017872788,-0.19413914415538436,937
2018-04-06,0.25562403171962744,-0.7303771837440935,633
2018-04-07,0.33404388724740974,-0.25399863443258286,258
2018-04-08,0.5936554096198049,0.7157264160822361,131
2018-04-09,0.3592839151298326,0.5851763039369964,596
2018-04-10,0.7660480882531437,-0.8471535295953472,326
2018-04-11,0.8147120600674148,-0.02303267518043528,623
2018-04-12,0.6873244069764868,-0.8573257537212546,385
2018-04-13,0.7509614006195094,-0.18754824812021087,599
2018-04-14,0.04101594998249414,-0.5507180878375777,657
2018-04-15,0.2115308297202868,0.5824309537125887,739
2018-04-16,0.9607190199671485,-0.17724739987007077,100
2018-04-17,0.6600727402044788,0.23980475703192772,864
2018-04-18,0.7676964808694287,0.184277713618215,663
2018-04-19,0.40361223951385783,-0.10769821939134405,668
2018-04-20,0.27731793761448853,0.4985864022044382,698
2018-04-21,0.8497462129637429,0.36261472595745614,31
2018-04-22,0.9404625221082258,0.37365935761887914,479
2018-04-23,0.02527879379784348,-0.3366046273095986,94
2018-04-24,0.6145596194354229,-0.9797821472934793,504
2018-04-25,0.6602274256233381,-0.23887388377261276,537
2018-04-26,0.8075687928547662,-0.4743278922169971,333
2018-04-27,0.9171353759012659,0.821203453517718,887
2018-04-28,0.03685062142576978,-0.5479590515944359,429
2018-04-29,0.07686940425536337,0.29209640660666425,965
2018-04-30,0.520225342468443,0.4822388040203913,283
2018-05-01,0.24228092683190927,-0.33242128683138783,913
2018-05-02,0.15807847738583003,-0.8401854824940531,532
2018-05-03,0.17388717136080445,-0.3366416076309011,305
2018-05-04,0.6807922376569825,0.8676417301869312,21
2018-05-05,0.25276707982041724,-0.6272000577180121,24
2018-05-06,0.7503849433695778,0.5342933262594283,777
2018-05-07,0.21753645590823012,-0.5909226512471,342
2018-05-08,0.8173468858568853,0.15263691953089276,872
2018-05-09,0.17866875748821953,-0.07497642274724448,796
2018-05-10,0.6163427821247897,0.8913900080968156,537
2018-05-11,0.4939542716112173,0.4804063382176915,535
2018-05-12,0.3592542805604838,0.7862410448897816,698
2018-05-13,0.7080109455960522,0.022125519183697095,696
2018-05-14,0.9468010462888506,-0.9807018534712306,632
2018-05-15,0.511710103551376,0.07563466907402616,1
2018-05-16,0.34434502265514433,0.5437729734742531,94
2018-05-17,0.760207737800312,-0.4335719271493723,683
2018-05-18,0.815043218368987,-0.7644932278583629,129
2018-05-19,0.8934598115913608,0.4797141530282094,376
2018-05-20,0.7760584821346177,0.3317815309810088,957
2018-05-21,0.2591287991464045,-0.7977759399257318,611
2018-05-22,0.026155468923038994,-0.6482768884574783,430
2018-05-23,0.8668174837707905,0.5153473042512651,232
2018-05-24,0.3411262921307616,-0.5949295294710562,311
2018-05-25,0.9522456401044279,0.6306386913478752,315
2018-05-26,0.4498831643861094,0.9363543613084471,964
2018-05-27,0.4397109597861394,-0.5699374692074208,231
2018-05-28,0.219148732278996,0.32829807374778497,945
2018-05-29,0.32328069972385043,-0.46073255255764045,492
2018-05-30,0.8448558392303227,0.02241002125845193,737
2018-05-31,0.5580889111168922,0.5245480651039729,770
2018-06-01,0.3031910721942791,-0.3272994485874663,50
2018-06-02,0.9943493016387431,-0.6009890462218705,577
2018-06-03,0.07611222467030276,-0.6738102816168243,816
2018-06-04,0.4703367856193106,-0.25142363341214913,978
2018-06-05,0.7510139306400664,-0.20629647043221078,447
2018-06-06,0.6901326842625496,-0.6021966583050578,774
2018-06-07,0.26648227464734375,0.4311700914885228,82
2018-06-08,0.6689103618090727,0.5313505421503419,605
2018-06-09,0.3362168468925575,0.9474298815144315,676
2018-06-10,0.05400112785048483,-0.9263418197345488,62
2018-06-11,0.023253105853753397,0.34044293920598845,936
2018-06-12,0.09541324234483473,0.44942716081155587,133
2018-06-13,0.20523930943310553,0.21090584835900317,676
2018-06-14,0.45841188737016736,-0.6740856973839842,712
2018-06-15,0.37679654903675663,0.3360248473270919,819
2018-06-16,0.8187284440914556,0.9365837655190898,490
2018-06-17,0.8537583190712156,-0.5586070029032595,898
2018-06-18,0.05982694740721484,-0.6496824547772464,457
2018-06-19,0.4033920554676992,0.33387056532951687,192
2018-06-20,0.5009634895477872,-0.44428729112515675,750
2018-06-21,0.22481511547147648,0.6049083667233037,144
2018-06-22,0.8854736540096799,-0.20725486108220537,842
2018-06-23,0.9086951321899384,-0.06561009041623955,688
2018-06-24,0.7706679865719581,-0.2752609624536271,842
2018-06-25,0.7487425859328355,-0.5767305328848724,912
2018-06-26,0.7158942820797063,0.12470370940825837,755
2018-06-27,0.30650333069766544,-0.6519332426003843,481
2018-06-28,0.8535990616862434,0.6071542427306487,590
2018-06-29,0.8012964093151294,-0.04111896014225569,635
2018-06-30,0.14794231774582045,-0.19341860183280368,433
2018-07-01,0.8020757958948014,0.4671002069404717,331
2018-07-02,0.44995273396975544,-0.29523435830012335,68
2018-07-03,0.7441927130159197,0.3688214547833901,656
2018-07-04,0.904346662169772,0.953171208049651,890
2018-07-05,0.6139658578581351,0.3453492417682338,611
2018-07-06,0.06589170874564954,0.19563102348182904,21
2018-07-07,0.2880588389726446,0.4541780450676016,359
2018-07-08,0.5384283197300456,0.9429281795895994,713
2018-07-09,0.7653194975299477,0.4641427952883517,483
2018-07-10,0.9734674429282869,-0.8269399696561817,488
2018-07-11,0.7193967075136367,0.5794291878677555,891
2018-07-12,0.993076656190092,0.5031825200293996,6
2018-07-13,0.495170188257664,0.9895361821747737,477
2018-07-14,0.4889947313295854,0.9380637230292783,341
2018-07-15,0.05126964728000816,0.0007752880284326302,675
2018-07-16,0.6036224234630818,0.23405429654140142,509
2018-07-17,0.5178696320007533,-0.590296394531217,967
2018-07-18,0.23179617315690393,0.7987672015730947,0
2018-07-19,0.7772621903188602,0.4419267146921113,44
2018-07-20,0.9661719737726675,-0.3458848618254424,337
2018-07-21,0.4356352233687333,0.4390032699405664,636
2018-07-22,0.35552609997106766,0.7865588287387328,332
2018-07-23,0.660071430931253,0.3453087795341865,411
2018-07-24,0.7389208557993091,0.3925942039223591,752
2018-07-25,0.08445510191043448,0.19638420652472166,734
2018-07-26,0.25602965625179686,0.8159540553563411,63
2018-07-27,0.1336485434793041,0.5342726250557255,811
2018-07-28,0.6127065575765926,0.7470518328020215,130
2018-07-29,0.9363330703577737,0.1482235810584056,506
2018-07-30,0.24491636166641517,0.8961162167168675,306
2018-07-31,0.2259793759964137,-0.2359124766768148,838
2018-08-01,0.7104763636334975,0.06037823055729885,460
2018-08-02,0.9740347215385146,0.6265238506372004,401
2018-08-03,0.4516526508790196,0.5027514865687182,628
2018-08-04,0.0031101923362577555,0.9397131892308039,317
2018-08-05,0.052214944897749915,-0.7061256336350177,280
2018-08-06,0.320018424264085,-0.3196387619115373,468
2018-08-07,0.10710750370430067,-0.4350029221208396,174
2018-08-08,0.7381554592339475,0.7867106194220734,360
2018-08-09,0.9944906679098732,-0.0856069538520432,15
2018-08-10,0.3244971880572075,-0.5811101555289553,660
2018-08-11,0.028202382824325634,0.07754744533950952,412
2018-08-12,0.213500577494399,-0.0633914242975746,850
2018-08-13,0.9712258786130856,0.45193653124669764,693
2018-08-14,0.1849544434071556,0.42273123876538765,848
2018-08-15,0.6841667736835018,0.31376925559464874,166
2018-08-16,0.03557606168209193,-0.9263755394689737,664
2018-08-17,0.537124670042597,0.6261142828222002,913
2018-08-18,0.7108843095845073,-0.5877565708553358,746
2018-08-19,0.19000993402626165,0.27373369021841154,877
2018-08-20,0.0384338138314787,-0.4105189453240481,821
2018-08-21,0.7857035509727546,0.7232527834570364,242
2018-08-22,0.7173966345045927,0.6986725654046431,723
2018-08-23,0.7260808663367357,0.7180007629183487,184
2018-08-24,0.6031137627401248,0.4544927629742823,440
2018-08-25,0.1956720644191713,0.6919656813684023,87
2018-08-26,0.7178337795083427,0.12478351210575611,322
2018-08-27,0.6230405848404624,-0.20619526729529003,211
2018-08-28,0.1456832597606842,-0.928847709949246,458
2018-08-29,0.8767032353644978,0.5776811209627253,859
2018-08-30,0.7764065333442886,0.2555869745730006,745
2018-08-31,0.026261782681669232,-0.8448691210042578,312
2018-09-01,0.7829241292410272,0.8441954000770746,571
2018-09-02,0.5435210021539314,0.2222711381474325,803
2018-09-03,0.05195663376229431,0.49295844293613644,519
2018-09-04,0.6558156368492551,0.9653700708102027,803
2018-09-05,0.8395900924402758,0.020907151976935934,427
2018-09-06,0.4237051676103183,0.9179234704593384,881
2018-09-07,0.8974826837890227,0.47950625165795313,416
2018-09-08,0.5231274099508173,-0.32949902653143304,551
2018-09-09,0.8937296074369471,0.36433074025607404,510
2018-09-10,0.6468771065947293,0.020302021978733098,127
2018-09-11,0.38204861196659834,0.27191302752000324,684
2018-09-12,0.3603798237141427,0.805825554215793,489
2018-09-13,0.9892656836830253,0.6712855890387959,171
2018-09-14,0.30253007453860603,0.6766234750860309,781
2018-09-15,0.8733987401243011,0.46661080703605284,98
2018-09-16,0.1197248845324057,-0.20091038029698183,318
2018-09-17,0.3224977256135523,0.8399162932493371,935
2018-09-18,0.8310289076190575,0.12158764407113831,440
2018-09-19,0.41187251923194423,0.8013903543172625,828
2018-09-20,0.3753855492609811,-0.8775890618682385,310
2018-09-21,0.6108577028496036,-0.6032272672068246,925
2018-09-22,0.6857593554675601,0.36450978915768184,917
2018-09-23,0.5977489008198337,-0.0023629885102480763,933
2018-09-24,0.9796575141425118,0.5965712200858595,492
2018-09-25,0.6023840920748038,-0.048023971813688116,158
2018-09-26,0.5789135446369263,-0.338828320403612,257
2018-09-27,0.8894115113210246,-0.08760693852111068,741
2018-09-28,0.7554519372460663,0.7657469776220449,543
2018-09-29,0.109555080812902,-0.9101581614460514,388
2018-09-30,0.3676317514600106,0.5499857894586642,688
2018-10-01,0.7647021542473467,-0.09646479586575962,457
2018-10-02,0.29397454147698787,0.17386478025860663,385
2018-10-03,0.27727613584612776,-0.1422901169301869,756
2018-10-04,0.056111742703705225,0.7842012771120508,668
2018-10-05,0.2951895806468039,0.09930358097594327,210
2018-10-06,0.5557707861716075,-0.9602100390125399,808
2018-10-07,0.6781176580376193,-0.20874449122203198,38
2018-10-08,0.4427849584035085,0.590089844487935,541
2018-10-09,0.05969793143744628,0.934011377713351,825
2018-10-10,0.703703639105162,0.5693616080149169,791
2018-10-11,0.15367696820698962,0.2586495213244957,608
2018-10-12,0.37563658980722325,0.8879484194112364,991
2018-10-13,0.7285401829273251,-0.27690809755364953,524
2018-10-14,0.7575751731608681,0.7216712982098874,535
2018-10-15,0.18887692955112179,-0.944516458393325,180
2018-10-16,0.7106723211331094,-0.6480984523984898,687
2018-10-17,0.5349775536987091,0.8872485174010076,785
2018-10-18,0.7913378574910596,0.7065458174043553,33
2018-10-19,0.39288497483368545,0.004287196713959718,231
2018-10-20,0.3183802219666073,-0.7184720284030008,728
2018-10-21,0.8942356774190524,-0.5334957770278475,105
2018-10-22,0.1670317627826351,0.24264947177432816,926
2018-10-23,0.1979051042471892,-0.2414715491304058,154
2018-10-24,0.5729276414268889,0.7751416663641875,260
2018-10-25,0.16431217613464766,-0.509931879426057,327
2018-10-26,0.780968975356014,-0.9814169523706815,217
2018-10-27,0.7129787851999246,0.4073769287658455,247
2018-10-28,0.7358111580668959,0.507735029397691,473
2018-10-29,0.47722959084431615,-0.5105744266596368,64
2018-10-30,0.5028635122463604,0.9668864730994413,610
2018-10-31,0.946328288195213,0.4673056840850285,820
2018-11-01,0.8352726713107196,-0.8411296480944521,830
2018-11-02,0.42188379866749737,0.6297735185743181,808
2018-11-03,0.810250004409258,0.005856707663477456,644
2018-11-04,0.8794736880059161,-0.028259632375929433,253
2018-11-05,0.7936714223877479,0.6157632909316106,117
2018-11-06,0.5656321347439595,-0.6141438488658597,174
2018-11-07,0.5328909447078414,0.6009633785137878,974
2018-11-08,0.10055683596948506,0.0657683820717585,873
2018-11-09,0.7145092957013769,0.13940138587864825,496
2018-11-10,0.12284253771722697,0.7922084679581216,512
2018-11-11,0.09243515311469819,0.9831919862549918,484
2018-11-12,0.5568565764876767,0.049641391398069334,630
2018-11-13,0.6239774856575755,-0.7328528830327072,446
2018-11-14,0.5098517601534656,0.022247543206702858,517
2018-11-15,0.6265351241275064,0.5192866787057213,738
2018-11-16,0.4720726923958257,-0.6016537661364816,768
2018-11-17,0.5039371368970134,0.29482969403797465,235
2018-11-18,0.1753869320031476,0.8646496617588448,161
